log_id,generated_regex
11,"(?P<month>\w{3})\s+(?P<day>\d{1,2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>[^\s]+)\s+(?P<process_name>[^\[]+)\[(?P<pid>\d+)\]\:\s+(?P<message>.+?)"
12,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+\((?<application>Citect)\s+\((?<architecture>32\s+bit)\)\s+\((?<server>IOServer)\s+\[(?<cluster>Cluster1\.IOServer)\]\)\s+\((?<pid>PID\s+\d+)\)\s+(?<event>Startup)\s+(?<version>8\.20)
13,"(?P<ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s+\[(?P<month>[A-Za-z]{3})\s+(?P<day>\d{2})\s+(?P<year>\d{4}),\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\]\s+""(?P<method>[A-Z]+)\s+(?P<path>.*?)\s+(?P<protocol>HTTP/\d\.\d)""\s+(?P<status>\d{3})\s+(?P<size>\d+)\s+""(?P<referrer>.*?)""\s+""(?P<user_agent>.*?)"""
14,(?<date>\d{2}/\d{2}/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<component>Remoting):\s+(?<message>Remoting\s+started;\s+listening\s+on\s+addresses\s+:\[(?<protocol>akka\.tcp)://(?<actor_system>sparkExecutorActorSystem)@(?<host>mesos-slave-07):(?<port>\d{5})\])
15,(?P<month>\w{3})\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>.*?)\s+sshd\[(?P<pid>\d+)\]:\s+input_userauth_request:\s+invalid\s+user\s+(?P<username>.*?)\s+\[(?P<status>.*?)\]
16,(?P<month>\w+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>\S*)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>\S+)\s+ruser=(?P<ruser>\S*)\s+rhost=(?P<rhost>[^ ]+)\s+user=(?P<user>\S+)
17,(?<timestamp>\d{8}-\d{2}:\d{2}:\d{2}:\d{3})\s+\|(?<step>LSC)\s+\|(?<id>\d+)\s+(?<event>onStandStepChanged)\s+(?<value>\d+)
18,(?P<month>\S+)\s+(?P<day>\d+)\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<message>.*?)
19,"<\d+>\s+(?<month>\S+)\s+(?<day>\d+)\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<hostname>[^,\s]+)\s+(?<timestamp1>\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(?<id>\d+),(?<source>[^,]+),(?<category>[^,]+),(?<pid>\d+),(?<timestamp2>\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(?<subcategory>[^,]+),,(?<level>\d+),(?<severity>[^,]+),""(?<message>.*?)""\s*,(?<number1>\d+),(?<hex_value>0x\d+),(?<number2>\d+),(?<number3>\d+),(?<number4>\d+),(?<number5>\d+),,(?<hostname2>[^,\s]+),(?<number6>\d+),(?<number7>\d+),(?<iso_timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
20,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
21,(?P<month>\w{3})\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>[^\s]+)\s+(?P<process_name>[^\[]+)\[(?P<pid>\d+)\]\:\s+(?P<message>.*?)
22,(?<date>\d{2}/\d{2}/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<class>[\w\.]+):\s+(?<message>.+?)
23,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
24,"<\d+>\s+(?<month>\w+)\s+(?<day>\d+)\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<hostname>[^,\s]+)\s+(?<date1>\d{4}/\d{2}/\d{2})\s+(?<time1>\d{2}:\d{2}:\d{2}),,(?<log_type>[^,]+),(?<subtype>[^,]+),(?<log_id>\d+),(?<date2>\d{4}/\d{2}/\d{2})\s+(?<time2>\d{2}:\d{2}:\d{2}),,(?<subtype2>[^,]+),,(?<field1>\d+),(?<field2>\d+),(?<category>[^,]+),(?<severity>[^,]+),""(?<message>.*?)""\s*,(?<field3>\d+),(?<field4>[^,]+),(?<field5>\d+),(?<field6>\d+),(?<field7>\d+),(?<field8>\d+),,(?<device>[^,]+),(?<field9>\d+),(?<field10>\d+),(?<timestamp>[^,]+)"
25,(?<month>\w{3})\s+(?<day>\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<hostname>\S+)\s+(?<service>\w+)\((?<module>\w+)\)\[(?<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?<logname>.*?)\s+uid=(?<uid>\d+)\s+euid=(?<euid>\d+)\s+tty=(?<tty>.*?)\s+ruser=(?<ruser>.*?)\s+rhost=(?<rhost>.*?)\s+user=(?<user>.*?)
26,(?P<month>\S+)\s+(?P<day>\d+)\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\[(?P<pid>\d+)\]:\s+reverse\s+mapping\s+checking\s+getaddrinfo\s+for\s+(?P<domain>[^\s\[\]]+)\s+\[(?P<ip>\d+\.\d+\.\d+\.\d+)\]\s+failed\s+-\s+(?P<message>.+)
27,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
28,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+\[(?<log_level>[^\]]*?)\]\s+\[(?<module>[^\]]*?)\]\s+\[(?<thread_id>[^\]]*?)\]\s+\[(?<component>[^\]]*?)\]\s+\[(?<function>[^\]]*?)\]\s+\[(?<file>[^\]]*?)\]\s+\[(?<line_number>\d*?)\]\s+(?<message>.*)
29,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+-\s+(?<log_level>INFO)\s+\[(?<class_name>QuorumPeer)\[(?<myid>\d+)\]\/(?<ip>[^:]+):(?<port>\d+):(?<method>FastLeaderElection)@(?<line>\d+)\]\s+-\s+(?<message>Notification\stime\sout:\s\d+)"
30,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+(?<module>Licensing::LicenseProtection)\:(?<function>ProtInit),\s+licRunMode:\s+(?<licRunMode>0x[0-9a-fA-F]+)"
31,"(?P<month>\b[A-Za-z]{3}\b)\s+(?P<day>\d{1,2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>[^\s]+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<scope>[^\s]+)\:\s+(?P<message>.*?)"
32,"(?<month>\d{2})\s+(?<day>\d{2})\s+(?<year>\d{4})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<(?<tag>[^>]+)>\s+(?<field1>\d+)\s+(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[+-]\d{4})\s+(?<host1>[^\s]+)\s+(?<host2>[^\s]+)\s+-\s+-\s+-\s+LEEF:2\.0\|(?<vendor>[^\|]+)\|(?<product>[^\|]+)\|(?<version>[^\|]+)\|(?<event_id>\d+)\|(?<event_name>[^\|]+)\|(?<severity>[^\|]+)\|cat='(?<category>[^']+)' id=(?<id>\d+) dvc=(?<device_ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) SrcName=(?<src_name>[^\s]+) SrcMac=(?<src_mac>[^\s]+) SrcVendor=(?<src_vendor>[^\s]+) SrcType=(?<src_type>[^\s]+)"
33,\[([\d\.]+)\s+([\d:]+)\]\s+(.+?)\s+-\s+([\w\.]+):(\d+)\s+(.+?)\s+through\s+proxy\s+([\w\.]+):(\d+)\s+(HTTPS)
34,(?P<month>\w{3})\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>.*?)\s+sshd\[(?P<pid>\d+)\]:\s+Failed\s+password\s+for\s+invalid\s+user\s+(?P<username>.*?)\s+from\s+(?P<ip_address>.*?)\s+port\s+(?P<port>\d+)\s+ssh2
35,"\s*(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<hostname>\S+)\s+(?<month>\w{3})\s+(?<day>\d{1,2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<host_with_service>\S+)\s+(?<service>\S+)\((?<pam_module>\S+)\)\[(?<pid>\d+)\]\:\s+session\s+closed\s+for\s+user\s+(?<username>\S+)"
36,(?P<month>\S+)\s+(?P<day>\d+)\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+\((?P<user>\S+)\)\s+CMD\s+\((?P<command>\/.*?\/.*?\s+-m\s+.*?\.job_runner\s+--max-startup-delay\s+\d+\s+-s\s+.*?\s+\/.*?\/.*?\.conf\s+--ticevents\s+>>\s+\/.*?\/.*?\.out\s+2>&1)\)
37,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>INFO)\s+(?<logger_name>slf4j\.Slf4jLogger):\s+(?<message>Slf4jLogger\s+started)
38,"\[([\d.]+)\s+(\d{2}:\d{2}:\d{2})\]\s+(WeChat\.exe)\s+-\s+([\w.-]+):(\d+)\s+(close),\s+(\d+)\s+bytes\s+sent,\s+(\d+)\s+bytes\s+received,\s+lifetime\s+<(\d+)\s+sec\]"
39,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+\[(?<log_level>[^\]]+)\]\s+\[(?<module>[^\]]+)\]\s+\[(?<thread_id>[^\]]+)\]\s+\[(?<component>[^\]]+)\]\s+\[(?<function>[^\]]+)\]\s+\[(?<file>[^\]]+)\]\s+\[(?<line_number>\d+)\]\s+MaxPending=(?<max_pending>\d+)\s+Block=(?<block>\d+)\s+Retry=(?<retry>\d+)\s+Delay=(?<delay>\d+)\s+Timeout=(?<timeout>\d+)\s+PollTime=(?<poll_time>\d+)\s+WatchTime=(?<watch_time>\d+)
40,"(?P<ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s+\[(?P<month>[A-Za-z]{3})\s+(?P<day>\d{2})\s+(?P<year>\d{4}),\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\]\s+""(?P<method>[A-Z]+)\s+(?P<uri>.*?)(?:\s+HTTP/(?P<http_version>\d\.\d))?""\s+(?P<status_code>\d{3})\s+(?P<response_size>\d+)\s+""(?P<referrer>.*?)""\s+""(?P<user_agent>.*?)"""
41,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?<server>server\d+)\s+(?<controller>AuthController)\s+\[(?<level>ERROR)\]:\s+Operation\s+failed\s+for\s+user\s+(?<user_id>\d+)
42,"<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}):(\d{2}):(\d{2})\s+(.*?)\s+(\d{4}\/\d{2}\/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),(.*?),(\w+),(\d+),(\d{4}\/\d{2}\/\d{2}\s+\d{2}:\d{2}:\d{2}),,,(.*?),,,(\d+),(\d+),(\w+),(\w+),""([^""]*)"",(\d+),0x([0-9a-fA-F]+),(\d+),(\d+),(\d+),(\d+),,,(.*?),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
43,(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+\[(?<log_level>[^\]]+)\]\s+\[(?<source>[^\]]+)\]\s+\[(?<thread_id>[^\]]+)\]\s+\[(?<component>[^\]]+)\]\s+\[(?<context>[^\]]+)\]\s+\[(?<function>[^\]]+)\]\s+\[(?<file>[^\]]+)\]\s+\[(?<line>\d+)\]\s+Unit\s+'(?<unit_name>[^']+)'\s+Port\s+(?<port>[^ ]+)\s+is\s+(?<status>[^\s]+)
44,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<log_level>[A-Z]+)\s+\[(?<thread_name>.*?)]\s+(?<class_name>.*?)\:\s+(?<task_id>.*?)\s+(?<message>.*?)"
45,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>[A-Z]+)\s+(?<class_name>spark\.SecurityManager):\s+Changing\s+modify\s+acls\s+to:\s+(?<acls>.+?)
46,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
47,(?P<month>\w+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>.*?)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>.*?)\s+ruser=(?P<ruser>.*?)\s+rhost=(?P<rhost>.*?)\s+user=(?P<user>.*?)
48,(?<date>\d{6})\s+(?<time>\d{6})\s+(?<pid>\d+)\s+(?<log_level>[A-Z]+)\s+(?<class>[^:]+):\s+(?<method>[^:]+):\s+(?<message>.+?)
49,(?P<month>\b\w+\b)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>[^\s]+)\s+(?P<process_name>[^\[]+)\[(?P<pid>\d+)\]\:\s+pam_unix\((?P<service>[^:]+):(?P<type>[^\)]+)\)\:\s+session\s+(?P<action>\w+)\s+for\s+user\s+(?P<username>[^\s]+)\s+by\s+\((?P<by_uid>uid=\d+)\)
50,(?P<month>\S+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<module>\S+)\)\[(?P<pid>\d+)\]:\s+session\s+opened\s+for\s+user\s+(?P<username>\S+)\s+by\s+\((?P<by_uid>uid=\d+)\)
51,(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+(?<message>Protection:\sUsing\sprovider\sDLL\s(?<dll_path>C:\\.*?\\.dll))
52,\s*(?<month>\S+)\s+(?<day>\d+)\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<hostname>\S+)\s+(?<service>\S+)\((?<module>\S+)\)\[(?<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?<logname>\S*)\s+uid=(?<uid>\d+)\s+euid=(?<euid>\d+)\s+tty=(?<tty>\S+)\s+ruser=(?<ruser>\S*)\s+rhost=(?<rhost>[^ ]+)\s+user=(?<user>\S+)
53,"(?<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?<timezone>\+\d{2}:\d{2})\s+(?<function>TranWrite)\((?<param1>\d+),\s*(?<param2>\d+)\):\s*Name=(?<name>[^,]+),\s*State\s*!=\s*(?<state1>[^,]+),\s*state=(?<state2>\d+)"
54,"<\d+>\s+(?<month>\w+)\s+(?<day>\d+)\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<hostname>[^,\s]+)\s+(?<date1>\d{4}/\d{2}/\d{2})\s+(?<time1>\d{2}:\d{2}:\d{2}),\d+,(?<source>[^,]+),(?<protocol>[^,]+),\d+,(?<date2>\d{4}/\d{2}/\d{2})\s+(?<time2>\d{2}:\d{2}:\d{2}),,?(?<action>[^,]+),(?<interface>[^,]+),\d+,\d+,(?<log_type>[^,]+),(?<severity>[^,]+),""(?<message>.*?)""\s*,\d+,\d+x?,\d+,\d+,\d+,\d+,,(?<device>[^,]+),\d+,\d+,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
55,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
56,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<log_level>[A-Z]+)\s+\[(?<thread_name>.*?)]\s+(?<class_name>.*?):\s+(?<message>.*?)"
57,"\[([\d.]+)\s+(\d{2}:\d{2}:\d{2})\]\s+(.*?)\s+-\s+(.*?)\:(\d+)\s+(.*?)\,\s+(\d+)\s+bytes\s+sent\,\s+(\d+)\s+bytes\s+received\,\s+lifetime\s+\<(.*?)\s+sec\>"
