Dataset_name,Field_name,Data_type,Description,Notes
All_Certificates,dest_category,string,The category of the target.This field is automatically provided by Asset and Identity correlation features of applications like the Splunk Enterprise Security.,"other:email_server, SOX-compliant"
All_Certificates,dest_port,number,The port number of the target.,
All_Certificates,dest_priority,string,The priority of the target. Field is automatically provided by the Asset and Identity correlation features of applications such as Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Certificates,duration,number,"The amount of time for the completion of the certificate management event, in seconds.",
All_Certificates,response_time,number,"The amount of time it took to receive a response in the certificate management event, if applicable.",
All_Certificates,src,string,"The source involved in the certificate management event. You can alias this from more specific fields, such as src_host, src_ip, or src_nt_host.Note: Do not confuse src with the event source or sourcetype fields.",
All_Certificates,src_bunit,string,The business unit of the certificate management source.This field is automatically provided by Asset and Identity correlation features of applications like Splunk Enterprise Security.,
All_Certificates,src_category,string,The category of the certificate management source.This field is automatically provided by Asset and Identity correlation features of applications like the Splunk Enterprise Security.,"other:email_server, SOX-compliant"
All_Certificates,src_port,number,The port number of the source.,
All_Certificates,src_priority,string,The priority of the certificate management source.,
All_Certificates,tag,string,This automatically generated field is used to access tags from within datamodels. Add-on builders do not need to populate it.,
All_Certificates,transport,string,The transport protocol of the Network Traffic involved with this certificate.,
SSL,ssl_end_time,time,The expiry time of the certificate. Needs to be converted to UNIX time for calculations in dashboards.,recommended
SSL,ssl_engine,string,The name of the signature engine that created the certificate.,
SSL,ssl_hash,string,The hash of the certificate.,recommended
SSL,ssl_is_valid,boolean,Indicator of whether the ssl certificate is valid or not.,"prescribed values:true, false, 1, 0"
SSL,ssl_issuer,string,The certificate issuer's RFC2253 Distinguished Name.,"recommended
required for pytest-splunk-addon"
SSL,ssl_issuer_common_name,string,The certificate issuer's common name.,"recommended
required for pytest-splunk-addon"
SSL,ssl_issuer_email,string,The certificate issuer's email address.,
SSL,ssl_issuer_email_domain,string,The domain name contained within the certificate issuer's email address.,recommended
SSL,ssl_issuer_locality,string,The certificate issuer's locality.,
SSL,ssl_issuer_organization,string,The certificate issuer's organization.,
SSL,ssl_issuer_state,string,The certificate issuer's state of residence.,
SSL,ssl_issuer_street,string,The certificate issuer's street address.,
SSL,ssl_issuer_unit,string,The certificate issuer's organizational unit.,
SSL,ssl_name,string,The name of the ssl certificate.,
SSL,ssl_policies,string,The Object Identification Numbers's of the certificate's policies in a comma separated string.,
SSL,ssl_publickey,string,The certificate's public key.,
SSL,ssl_publickey_algorithm,string,The algorithm used to create the public key.,
SSL,ssl_serial,string,The certificate's serial number.,"recommended
required for pytest-splunk-addon"
SSL,ssl_session_id,string,The session identifier for this certificate.,
SSL,ssl_signature_algorithm,string,The algorithm used by the Certificate Authority to sign the certificate.,
SSL,ssl_start_time,time,This is the start date and time for this certificate's validity. Needs to be converted to UNIX time for calculations in dashboards.,recommended
SSL,ssl_subject,string,The certificate owner's RFC2253 Distinguished Name.,"recommended
required for pytest-splunk-addon"
SSL,ssl_subject_common_name,string,This certificate owner's common name.,"recommended
required for pytest-splunk-addon"
SSL,ssl_subject_email,string,The certificate owner's e-mail address.,
SSL,ssl_subject_email_domain,string,The domain name contained within the certificate subject's email address.,recommended
SSL,ssl_subject_locality,string,The certificate owner's locality.,
SSL,ssl_subject_organization,string,The certificate owner's organization.,required for pytest-splunk-addon
SSL,ssl_subject_state,string,The certificate owner's state of residence.,
SSL,ssl_subject_street,string,The certificate owner's street address.,
SSL,ssl_subject_unit,string,The certificate owner's organizational unit.,
SSL,ssl_validity_window,number,The length of time (in seconds) for which this certificate is valid.,required for pytest-splunk-addon
SSL,ssl_version,string,The ssl version of this certificate.,
All_Changes,action,string,"The action attempted on the resource, regardless of success or failure.","recommended
required for pytest-splunk-addon
prescribed values:acl_modified,cleared,created, deleted, modified, stopped,lockout, read, logoff, updated,  started, restarted,unlocked"
All_Changes,change_type,string,"The type of change, such as filesystem or AAA (authentication, authorization, and accounting).","recommended
required for pytest-splunk-addon
prescribed values: NA"
All_Changes,command,string,The command that initiated the change.,"recommended
required for pytest-splunk-addon"
All_Changes,dest,string,"The resource where change occurred. You can alias this from more specific fields not included in this data model, such as dest_host, dest_ip, or dest_name.","recommended
required for pytest-splunk-addon"
All_Changes,dvc,string,"The device that reported the change, if applicable, such as a FIP or CIM server. You can alias this from more specific fields not included in this data model, such as dvc_host, dvc_ip, or dvc_name.","recommended
required for pytest-splunk-addon"
All_Changes,image_id,string,"For create instance events, this field represents the image ID used for creating the instance such as the OS, applications, installed libraries, and so on.","recommended
required for pytest-splunk-addon"
All_Changes,object,string,"Name of the affected object on the resource (such as a router interface, user account, or server volume).","recommended
required for pytest-splunk-addon"
All_Changes,object_attrs,string,"The object's attributes and their values. The attributes and values can be those that are updated on a resource object, or those that are not updated but are essential attributes.","recommended
required for pytest-splunk-addon"
All_Changes,object_category,string,"Generic name for the class of the updated resource object. Expected values may be specific to an app, for example: registry, directory, file, group, user, bucket, instance.","recommended
required for pytest-splunk-addon"
All_Changes,object_id,string,"The unique updated resource object ID as presented to the system, if applicable (for instance, a SID, UUID, or GUID value).","recommended
required for pytest-splunk-addon"
All_Changes,object_path,string,"The path of the modified resource object, if applicable (such as a file, directory, or volume).","recommended
required for pytest-splunk-addon"
All_Changes,result,string,"The vendor-specific result of a change, or clarification of an action status. For instance, status=failure may be accompanied by result=blocked by policy or result=disk full.",recommended
All_Changes,result_id,string,A result indicator for an action status.,recommended
All_Changes,src,string,"The resource where the change was originated. You can alias this from more specific fields not included in the data model, such as src_host, src_ip, or src_name.",recommended
All_Changes,status,string,Status of the update.,"recommended
required for pytest-splunk-addon
prescribed values:success, failure"
All_Changes,tag,string,This automatically generated field is used to access tags from within datamodels. Do not define extractions for this field when writing add-ons.,
All_Changes,user,string,"The user or entity performing the change. For account changes, this is the account that was changed. See src_user for user or entity performing the change.","recommended
required for pytest-splunk-addon"
All_Changes,user_agent,string,"The user agent through which the request was made, such as Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) or aws-cli/2.0.0 Python/3.7.4 Darwin/18.7.0 botocore/2.0.0dev4.",
All_Changes,user_name,string,"The user name of the user or entity performing the change. For account changes, this is the account that was changed (see src_user_name).",recommended
All_Changes,user_type,string,"The type of the user involved in the event or who initiated the event, such as IAMUser, Admin, or System. For account management events, this should represent the type of the user changed by the request.",
All_Changes,vendor_account,string,"The account that manages the user that initiated the request. The account represents the organization, or a Cloud  customer or a Cloud account.",
All_Changes,vendor_product,string,The vendor and product or service that detected the change. This field can be automatically populated by vendor and product fields in your data.,"recommended
required for pytest-splunk-addon"
All_Changes,vendor_region,string,"The data center region where the change occurred, such as us-west-2.",
Account_Management,dest_nt_domain,string,"The NT domain of the destination, if applicable.",recommended
Account_Management,src_nt_domain,string,"The NT domain of the source, if applicable.",recommended
Account_Management,src_user,string,"For account changes, the user or entity performing the change.",recommended
Account_Management,src_user_name,string,"For account changes, the user name of the user or entity performing the change.",recommended
Account_Management,src_user_type,string,"For account management events, this should represent the type of the user changed by the request.",
Network_Changes,dest_ip_range,string,"For network events, the outgoing traffic for a specific destination IP address range. Specify a single IP address or an IP address range in CIDR notation. For example, 203.0.113.5 or 203.0.113.5/32.",
Network_Changes,dest_port_range,string,"For network events, this field represents destination port or range. For example, 80 or 8000 - 8080 or 80,443.",
Network_Changes,direction,string,"For network events, this field represents whether the traffic is inbound or outbound.",
Network_Changes,rule_action,string,"For network events, this field represents whether to allow or deny traffic.",
Network_Changes,src_ip_range,string,"For network events, this field represents the incoming traffic from a specific source IP address or range. Specify a single IP address or an IP address range in CIDR notation. For example, 203.0.113.5 or 203.0.113.5/32.",
Network_Changes,src_port_range,string,"For network events, this field represents source port or range. For example, 80 or 8000 - 8080 or 80,443.",
All_Changes,action,string,The action performed on the resource.,"Values:acl_modified, cleared, created, deleted, modified, read, stopped, updatedrecommended"
All_Changes,change_type,string,"The type of change, such as filesystem or AAA (authentication, authorization, and accounting).",Values: restartrecommended
All_Changes,command,string,The command that initiated the change.,recommended
All_Changes,dest,string,"The resource where change occurred. You can alias this from more specific fields not included in this data model, such as dest_host, dest_ip, or dest_name.",recommended
All_Changes,dvc,string,"The device that reported the change, if applicable, such as a FIP or CIM server. You can alias this from more specific fields not included in this data model, such as dvc_host, dvc_ip, or dvc_name.",recommended
All_Changes,object,string,"Name of the affected object on the resource (such as a router interface, user account, or server volume).",recommended
All_Changes,object_attrs,string,"The attributes that were updated on the updated resource object, if applicable.",recommended
All_Changes,object_category,string,Generic name for the class of the updated resource object. Expected values may be specific to an app.,"Values:directory, file, group, registry, userrecommended"
All_Changes,object_id,string,"The unique updated resource object ID as presented to the system, if applicable (for instance, a SID, UUID, or GUID value).",recommended
All_Changes,object_path,string,"The path of the modified resource object, if applicable (such as a file, directory, or volume).",recommended
All_Changes,result,string,"The vendor-specific result of a change, or clarification of an action status. For instance, status=failure may be accompanied by result=blocked by policy or result=disk full. result is a string. Please use a msg_severity_id field (not included in the data model) for severity ID fields that are integer data types.",Values: lockoutrecommended
All_Changes,result_id,string,A result indicator for an action status.,recommended
All_Changes,src,string,"The resource where the change was originated. You can alias this from more specific fields not included in the data model, such as src_host, src_ip, or src_name.",recommended
All_Changes,status,string,Status of the update.,"Values:success, failurerecommended"
All_Changes,tag,string,This automatically generated field is used to access tags from within datamodels. Do not define extractions for this field when writing add-ons.,
All_Changes,user,string,"The user or entity performing the change. For account changes, this is the account that was changed. See src_user for user or entity performing the change.",recommended
All_Changes,vendor_product,string,The vendor and product or service that detected the change. This field can be automatically populated by vendor and product fields in your data.,recommended
Account_Management,dest_nt_domain,string,"The NT domain of the destination, if applicable.",
Account_Management,src_nt_domain,string,"The NT domain of the source, if applicable.",
Account_Management,src_user,string,"For account changes, the user or entity performing the change.",
Filesystem_Changes,file_access_time,time,The time the file (the object of the event) was accessed.,
Filesystem_Changes,file_acl,string,Access controls associated with the file affected by the event.,
Filesystem_Changes,file_create_time,time,The time the file (the object of the event) was created.,
Filesystem_Changes,file_hash,string,A cryptographic identifier assigned to the file object affected by the event.,
Filesystem_Changes,file_modify_time,time,The time the file (the object of the event) was altered.,
Filesystem_Changes,file_name,string,The name of the file that is the object of the event (without location information related to local file or directory structure).,
Filesystem_Changes,file_path,string,"The location of the file that is the object of the event, in local file and directory structure terms.",
Filesystem_Changes,file_size,number,"The size of the file that is the object of the event, in kilobytes.",
All_Inventory,description,string,The description of the inventory system.,
All_Inventory,dest,string,"The system where the data originated, the source of the event. You can alias' this from more specific fields, such as dest_host, dest_ip, or dest_name.",
All_Inventory,dest_bunit,string,The business unit of the system where the data is going. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Inventory,dest_category,string,"The category of the system where the data is going, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",
All_Inventory,dest_priority,string,The priority of the system where the data is going. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
All_Inventory,enabled,boolean,Indicates whether the resource is enabled or disabled.,
All_Inventory,family,string,"The product family of the resource, such as 686_64 or RISC.",
All_Inventory,hypervisor_id,string,"The hypervisor identifier, if applicable.",
All_Inventory,serial,string,The serial number of the resource.,
All_Inventory,status,string,The current reported state of the resource.,
All_Inventory,tag,string,Splunk uses this automatically generated field to access tags from within data models. You do not need to populate it.,
All_Inventory,vendor_product,string,"The vendor and product name of the resource, such as Cisco Catalyst 3850. This field can be automatically populated by vendor and product fields in your data.",
All_Inventory,version,string,"The  version of a computer resource, such as 2008r2 or 3.0.0.",
CPU,cpu_cores,number,"The number of CPU cores reported by the resource (total, not per CPU).",
CPU,cpu_count,number,The number of CPUs reported by the resource.,
CPU,cpu_mhz,number,The maximum speed of the CPU reported by the resource (in megahertz).,
Memory,mem,number,"The total amount of memory installed in or allocated to the resource, in megabytes.",
Network,dest_ip,string,The IP address for the system that the data is going to.,
Network,dns,string,The domain name server for the resource.,
Network,inline_nat,string,Identifies whether the resource is a network address translation pool.,
Network,interface,string,"The network interfaces of the computing resource, such as eth0, eth1 or Wired Ethernet Connection, Teredo Tunneling Pseudo-Interface.",
Network,ip,string,"The network address of the computing resource, such as 192.168.1.1 or E80:0000:0000:0000:0202:B3FF:FE1E:8329.",
Network,lb_method,string,"The load balancing method used by the computing resource such as method, round robin, or least weight.",
Network,mac,string,"A MAC (media access control) address associated with the resource, such as 06:10:9f:eb:8f:14. Note: Always force lower case on this field. Note: Always use colons instead of dashes, spaces, or no separator.",
Network,name,string,A name field provided in some data sources.,
Network,node,string,Represents a node hit.,
Network,node_port,number,The number of the destination port on the server that you requested from.,
Network,src_ip,string,The IP address for the system from which the data originates.,
Network,vip_port,number,The port number for the virtual IP address (VIP). A VIP allows multiple MACs to use one IP address. VIPs are often used by load balancers.,
OS,os,string,"The operating system of the resource, such as Microsoft Windows Server 2008r2. This field is constructed from vendor_product and version fields.",
Storage,array,string,"The array that the storage resource is a member of, if applicable",
Storage,blocksize,number,"The block size used by the storage resource, in kilobytes.",
Storage,cluster,string,"The index cluster that the resource is a member of, if applicable.",
Storage,fd_max,number,The maximum number of file descriptors available.,
Storage,latency,number,"The latency reported by the resource, in milliseconds.",
Storage,mount,string,The path at which a storage resource is mounted.,
Storage,parent,string,"A higher level object that this resource is owned by, if applicable.",
Storage,read_blocks,number,The maximum possible number of blocks read per second during a polling period .,
Storage,read_latency,number,"For a polling period, the average amount of time elapsed until a read request is filled by the host disks (in ms).",
Storage,read_ops,number,The total number of read operations in the polling period.,
Storage,storage,number,"The amount of storage capacity allocated to the resource, in megabytes.",
Storage,write_blocks,number,The maximum possible number of blocks written per second during a polling period.,
Storage,write_latency,number,"For a polling period, the average amount of time elapsed until a write request is filled by the host disks (in ms).",
Storage,write_ops,number,The total number of write operations in the polling period.,
User,interactive,boolean,Indicates whether a locally defined account on a resource can be interactively logged in.,
User,password,string,"Displays the stored password(s) for a locally defined account, if it has any. For instance, an add-on may report the password column from /etc/passwd in this field.",
User,shell,string,Indicates the shell program used by a locally defined account.,
User,user,string,The full name of a locally defined account.,
User,user_bunit,string,The business unit of the locally-defined user account. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
User,user_category,string,"The category of the system where the data originated, such as email_server or SOX-compliant. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",
User,user_id,number,The user identification for a locally defined account.,
User,user_priority,string,The priority of a locally-defined account. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Virtual_OS,hypervisor,string,The hypervisor parent of a virtual guest OS.,
Snapshot,size,number,"The snapshot file size, in megabytes.",
Snapshot,snapshot,string,The name of a snapshot file.,
Snapshot,time,time,The time at which the snapshot was taken.,
Data_Access,action,string,The data access action taken by the user.,"recommended
prescribed values:commented, copied, created, deleted, disabled, downloaded, enabled, granted, forwarded, modified, read, revoked, shared, stopped, uncommented, unlocked, unshared, updated, uploaded,"
Data_Access,app,string,The application involved in the event.,recommended
Data_Access,app_id,string,Application ID as defined by the vendor.,
Data_Access,dest,string,"The destination where the data resides or where it is being accessed, such as the product or application. You can alias this from more specific fields not included in this data model, such as dest_host, dest_ip, dest_url, or dest_name.",recommended
Data_Access,dest_name,string,Name of the destination as defined by the vendor.,
Data_Access,dest_url,string,"Url of the product, application, or object.",
Data_Access,dvc,string,The device that reported the data access event.,
Data_Access,email,string,"The email address of the user involved in the event, or who initiated the event.",
Data_Access,object,string,Resource object name on which the action was performed by a user.,recommended
Data_Access,object_attrs,string,"The object's attributes and their values. The attributes and values can be those that are updated on a resource object, or those that are not updated but are essential attributes.",recommended
Data_Access,object_category,string,"Generic name for the class of the updated resource object. Expected values may be specific to an app. For example, collaboration, file, folder, comment, task, note, and so on.",recommended
Data_Access,object_id,string,"The unique updated resource object ID as presented to the system, if applicable. For example, a source_folder_id, doc_id.",recommended
Data_Access,object_path,string,"The path of the modified resource object, if applicable, such as a file, directory, or volume.",
Data_Access,object_size,string,The size of the modified resource object.,recommended
Data_Access,owner,string,Resource owner.,
Data_Access,owner_email,string,Email of the resource owner.,
Data_Access,owner_id,string,ID of the owner as defined by the vendor.,
Data_Access,parent_object,string,Parent of the object name on which the action was performed by a user.,
Data_Access,parent_object_id,string,Parent object ID,
Data_Access,parent_object_category,string,Object category of the parent object on which action was performed by a user.,
Data_Access,signature,string,A human-readable signature name.,
Data_Access,signature_id,string,The unique identifier or event code of the event signature.,optional
Data_Access,src,string,The endpoint client host.,recommended
Data_Access,vendor_account,string,"Account associated with the event. The account represents the organization, or a Cloud  customer or a Cloud account.",recommended
Data_Access,user,string,"The user involved in the event, or who initiated the event.",recommended
Data_Access,user_agent,string,"The user agent through which the request was made, such as Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) or aws-cli/2.0.0 Python/3.7.4 Darwin/18.7.0 botocore/2.0.0dev4",recommended
Data_Access,user_group,string,"The group of the user involved in the event, or who initiated the event.",
Data_Access,user_id,string,"The unique id of the user involved in the event. For authentication privilege escalation events, this should represent the user targeted by the escalation.",optional
Data_Access,user_name,string,"The user name of the user or entity performing the change. For account changes, this is the account that was changed (see src_user_name). Use this field for a friendlier name, for example, with AWS events if you do not have Assets and Identities configured in Enterprise Security and are not getting a friendly name from user.",recommended
Data_Access,user_email,string,The email address of the user or entity involved in the event.,optional
Data_Access,user_role,string,"The role of the user involved in the event, or who initiated the event.",
Data_Access,user_type,string,"The type of the user involved in the event or who initiated the event, such as IAMUser, Admin, or System. For account management events, this should represent the type of the user changed by the request.",optional
Data_Access,vendor_product,string,The vendor and product name of the vendor.,recommended
