Package,Logtype,Documentation_URL
cloudflare_logpush,cloudflare_logpush,https://github.com/elastic/integrations/tree/main/packages/cloudflare_logpush
cloud_asset_inventory,cloud_asset_inventory,https://github.com/elastic/integrations/tree/main/packages/cloud_asset_inventory
cloud_defend,cloud_defend,https://github.com/elastic/integrations/tree/main/packages/cloud_defend
cloud_security_posture,cloud_security_posture,https://github.com/elastic/integrations/tree/main/packages/cloud_security_posture
cockroachdb,cockroachdb,https://github.com/elastic/integrations/tree/main/packages/cockroachdb
containerd,containerd,https://github.com/elastic/integrations/tree/main/packages/containerd
coredns,coredns,https://github.com/elastic/integrations/tree/main/packages/coredns
corelight,corelight,https://github.com/elastic/integrations/tree/main/packages/corelight
couchbase,couchbase,https://github.com/elastic/integrations/tree/main/packages/couchbase
couchdb,couchdb,https://github.com/elastic/integrations/tree/main/packages/couchdb
cribl,cribl,https://github.com/elastic/integrations/tree/main/packages/cribl
crowdstrike,crowdstrike,https://github.com/elastic/integrations/tree/main/packages/crowdstrike
cyberarkpas,cyberarkpas,https://github.com/elastic/integrations/tree/main/packages/cyberarkpas
cyberark_epm,cyberark_epm,https://github.com/elastic/integrations/tree/main/packages/cyberark_epm
cyberark_pta,cyberark_pta,https://github.com/elastic/integrations/tree/main/packages/cyberark_pta
cybereason,cybereason,https://github.com/elastic/integrations/tree/main/packages/cybereason
cylance,cylance,https://github.com/elastic/integrations/tree/main/packages/cylance
darktrace,darktrace,https://github.com/elastic/integrations/tree/main/packages/darktrace
ded,ded,https://github.com/elastic/integrations/tree/main/packages/ded
dga,dga,https://github.com/elastic/integrations/tree/main/packages/dga
digital_guardian,digital_guardian,https://github.com/elastic/integrations/tree/main/packages/digital_guardian
docker,docker,https://github.com/elastic/integrations/tree/main/packages/docker
docker_otel,docker_otel,https://github.com/elastic/integrations/tree/main/packages/docker_otel
elasticsearch,elasticsearch,https://github.com/elastic/integrations/tree/main/packages/elasticsearch
elastic_agent,elastic_agent,https://github.com/elastic/integrations/tree/main/packages/elastic_agent
elastic_connectors,elastic_connectors,https://github.com/elastic/integrations/tree/main/packages/elastic_connectors
elastic_package_registry,elastic_package_registry,https://github.com/elastic/integrations/tree/main/packages/elastic_package_registry
endace,endace,https://github.com/elastic/integrations/tree/main/packages/endace
enterprisesearch,enterprisesearch,https://github.com/elastic/integrations/tree/main/packages/enterprisesearch
entityanalytics_ad,entityanalytics_ad,https://github.com/elastic/integrations/tree/main/packages/entityanalytics_ad
entityanalytics_entra_id,entityanalytics_entra_id,https://github.com/elastic/integrations/tree/main/packages/entityanalytics_entra_id
entityanalytics_okta,entityanalytics_okta,https://github.com/elastic/integrations/tree/main/packages/entityanalytics_okta
envoyproxy,envoyproxy,https://github.com/elastic/integrations/tree/main/packages/envoyproxy
eset_protect,eset_protect,https://github.com/elastic/integrations/tree/main/packages/eset_protect
ess_billing,ess_billing,https://github.com/elastic/integrations/tree/main/packages/ess_billing
etcd,etcd,https://github.com/elastic/integrations/tree/main/packages/etcd
f5_bigip,f5_bigip,https://github.com/elastic/integrations/tree/main/packages/f5_bigip
falco,falco,https://github.com/elastic/integrations/tree/main/packages/falco
filestream,filestream,https://github.com/elastic/integrations/tree/main/packages/filestream
fim,fim,https://github.com/elastic/integrations/tree/main/packages/fim
fireeye,fireeye,https://github.com/elastic/integrations/tree/main/packages/fireeye
first_epss,first_epss,https://github.com/elastic/integrations/tree/main/packages/first_epss
fleet_server,fleet_server,https://github.com/elastic/integrations/tree/main/packages/fleet_server
forcepoint_web,forcepoint_web,https://github.com/elastic/integrations/tree/main/packages/forcepoint_web
forgerock,forgerock,https://github.com/elastic/integrations/tree/main/packages/forgerock
fortinet_forticlient,fortinet_forticlient,https://github.com/elastic/integrations/tree/main/packages/fortinet_forticlient
fortinet_fortiedr,fortinet_fortiedr,https://github.com/elastic/integrations/tree/main/packages/fortinet_fortiedr
fortinet_fortigate,fortinet_fortigate,https://github.com/elastic/integrations/tree/main/packages/fortinet_fortigate
fortinet_fortimail,fortinet_fortimail,https://github.com/elastic/integrations/tree/main/packages/fortinet_fortimail
fortinet_fortimanager,fortinet_fortimanager,https://github.com/elastic/integrations/tree/main/packages/fortinet_fortimanager
fortinet_fortiproxy,fortinet_fortiproxy,https://github.com/elastic/integrations/tree/main/packages/fortinet_fortiproxy
gcp,gcp,https://github.com/elastic/integrations/tree/main/packages/gcp
gcp_metrics,gcp_metrics,https://github.com/elastic/integrations/tree/main/packages/gcp_metrics
gcp_pubsub,gcp_pubsub,https://github.com/elastic/integrations/tree/main/packages/gcp_pubsub
gcp_vertexai,gcp_vertexai,https://github.com/elastic/integrations/tree/main/packages/gcp_vertexai
gigamon,gigamon,https://github.com/elastic/integrations/tree/main/packages/gigamon
github,github,https://github.com/elastic/integrations/tree/main/packages/github
gitlab,gitlab,https://github.com/elastic/integrations/tree/main/packages/gitlab
goflow2,goflow2,https://github.com/elastic/integrations/tree/main/packages/goflow2
golang,golang,https://github.com/elastic/integrations/tree/main/packages/golang
google_cloud_storage,google_cloud_storage,https://github.com/elastic/integrations/tree/main/packages/google_cloud_storage
google_scc,google_scc,https://github.com/elastic/integrations/tree/main/packages/google_scc
google_secops,google_secops,https://github.com/elastic/integrations/tree/main/packages/google_secops
google_workspace,google_workspace,https://github.com/elastic/integrations/tree/main/packages/google_workspace
hadoop,hadoop,https://github.com/elastic/integrations/tree/main/packages/hadoop
haproxy,haproxy,https://github.com/elastic/integrations/tree/main/packages/haproxy
hashicorp_vault,hashicorp_vault,https://github.com/elastic/integrations/tree/main/packages/hashicorp_vault
hid_bravura_monitor,hid_bravura_monitor,https://github.com/elastic/integrations/tree/main/packages/hid_bravura_monitor
hpe_aruba_cx,hpe_aruba_cx,https://github.com/elastic/integrations/tree/main/packages/hpe_aruba_cx
hta,hta,https://github.com/elastic/integrations/tree/main/packages/hta
httpjson,httpjson,https://github.com/elastic/integrations/tree/main/packages/httpjson
http_endpoint,http_endpoint,https://github.com/elastic/integrations/tree/main/packages/http_endpoint
ibmmq,ibmmq,https://github.com/elastic/integrations/tree/main/packages/ibmmq
iis,iis,https://github.com/elastic/integrations/tree/main/packages/iis
imperva,imperva,https://github.com/elastic/integrations/tree/main/packages/imperva
imperva_cloud_waf,imperva_cloud_waf,https://github.com/elastic/integrations/tree/main/packages/imperva_cloud_waf
influxdb,influxdb,https://github.com/elastic/integrations/tree/main/packages/influxdb
infoblox_bloxone_ddi,infoblox_bloxone_ddi,https://github.com/elastic/integrations/tree/main/packages/infoblox_bloxone_ddi
infoblox_nios,infoblox_nios,https://github.com/elastic/integrations/tree/main/packages/infoblox_nios
iptables,iptables,https://github.com/elastic/integrations/tree/main/packages/iptables
istio,istio,https://github.com/elastic/integrations/tree/main/packages/istio
jamf_compliance_reporter,jamf_compliance_reporter,https://github.com/elastic/integrations/tree/main/packages/jamf_compliance_reporter
jamf_pro,jamf_pro,https://github.com/elastic/integrations/tree/main/packages/jamf_pro
jamf_protect,jamf_protect,https://github.com/elastic/integrations/tree/main/packages/jamf_protect
jolokia_input,jolokia_input,https://github.com/elastic/integrations/tree/main/packages/jolokia_input
journald,journald,https://github.com/elastic/integrations/tree/main/packages/journald
jumpcloud,jumpcloud,https://github.com/elastic/integrations/tree/main/packages/jumpcloud
juniper_junos,juniper_junos,https://github.com/elastic/integrations/tree/main/packages/juniper_junos
juniper_netscreen,juniper_netscreen,https://github.com/elastic/integrations/tree/main/packages/juniper_netscreen
juniper_srx,juniper_srx,https://github.com/elastic/integrations/tree/main/packages/juniper_srx
kafka,kafka,https://github.com/elastic/integrations/tree/main/packages/kafka
kafka_log,kafka_log,https://github.com/elastic/integrations/tree/main/packages/kafka_log
keycloak,keycloak,https://github.com/elastic/integrations/tree/main/packages/keycloak
kibana,kibana,https://github.com/elastic/integrations/tree/main/packages/kibana
kubernetes,kubernetes,https://github.com/elastic/integrations/tree/main/packages/kubernetes
kubernetes_otel,kubernetes_otel,https://github.com/elastic/integrations/tree/main/packages/kubernetes_otel
lastpass,lastpass,https://github.com/elastic/integrations/tree/main/packages/lastpass
linux,linux,https://github.com/elastic/integrations/tree/main/packages/linux
lmd,lmd,https://github.com/elastic/integrations/tree/main/packages/lmd
log,log,https://github.com/elastic/integrations/tree/main/packages/log
logstash,logstash,https://github.com/elastic/integrations/tree/main/packages/logstash
lumos,lumos,https://github.com/elastic/integrations/tree/main/packages/lumos
lyve_cloud,lyve_cloud,https://github.com/elastic/integrations/tree/main/packages/lyve_cloud
m365_defender,m365_defender,https://github.com/elastic/integrations/tree/main/packages/m365_defender
mattermost,mattermost,https://github.com/elastic/integrations/tree/main/packages/mattermost
memcached,memcached,https://github.com/elastic/integrations/tree/main/packages/memcached
menlo,menlo,https://github.com/elastic/integrations/tree/main/packages/menlo
microsoft_defender_cloud,microsoft_defender_cloud,https://github.com/elastic/integrations/tree/main/packages/microsoft_defender_cloud
microsoft_defender_endpoint,microsoft_defender_endpoint,https://github.com/elastic/integrations/tree/main/packages/microsoft_defender_endpoint
microsoft_dhcp,microsoft_dhcp,https://github.com/elastic/integrations/tree/main/packages/microsoft_dhcp
microsoft_dnsserver,microsoft_dnsserver,https://github.com/elastic/integrations/tree/main/packages/microsoft_dnsserver
microsoft_exchange_online_message_trace,microsoft_exchange_online_message_trace,https://github.com/elastic/integrations/tree/main/packages/microsoft_exchange_online_message_trace
microsoft_exchange_server,microsoft_exchange_server,https://github.com/elastic/integrations/tree/main/packages/microsoft_exchange_server
microsoft_sentinel,microsoft_sentinel,https://github.com/elastic/integrations/tree/main/packages/microsoft_sentinel
microsoft_sqlserver,microsoft_sqlserver,https://github.com/elastic/integrations/tree/main/packages/microsoft_sqlserver
mimecast,mimecast,https://github.com/elastic/integrations/tree/main/packages/mimecast
miniflux,miniflux,https://github.com/elastic/integrations/tree/main/packages/miniflux
modsecurity,modsecurity,https://github.com/elastic/integrations/tree/main/packages/modsecurity
mongodb,mongodb,https://github.com/elastic/integrations/tree/main/packages/mongodb
mongodb_atlas,mongodb_atlas,https://github.com/elastic/integrations/tree/main/packages/mongodb_atlas
mysql,mysql,https://github.com/elastic/integrations/tree/main/packages/mysql
mysql_enterprise,mysql_enterprise,https://github.com/elastic/integrations/tree/main/packages/mysql_enterprise
nagios_xi,nagios_xi,https://github.com/elastic/integrations/tree/main/packages/nagios_xi
nats,nats,https://github.com/elastic/integrations/tree/main/packages/nats
netflow,netflow,https://github.com/elastic/integrations/tree/main/packages/netflow
netscout,netscout,https://github.com/elastic/integrations/tree/main/packages/netscout
netskope,netskope,https://github.com/elastic/integrations/tree/main/packages/netskope
network_traffic,network_traffic,https://github.com/elastic/integrations/tree/main/packages/network_traffic
nginx,nginx,https://github.com/elastic/integrations/tree/main/packages/nginx
nginx_ingress_controller,nginx_ingress_controller,https://github.com/elastic/integrations/tree/main/packages/nginx_ingress_controller
nginx_ingress_controller_otel,nginx_ingress_controller_otel,https://github.com/elastic/integrations/tree/main/packages/nginx_ingress_controller_otel
nvidia_gpu,nvidia_gpu,https://github.com/elastic/integrations/tree/main/packages/nvidia_gpu
o365,o365,https://github.com/elastic/integrations/tree/main/packages/o365
o365_metrics,o365_metrics,https://github.com/elastic/integrations/tree/main/packages/o365_metrics
okta,okta,https://github.com/elastic/integrations/tree/main/packages/okta
openai,openai,https://github.com/elastic/integrations/tree/main/packages/openai
opencanary,opencanary,https://github.com/elastic/integrations/tree/main/packages/opencanary
oracle,oracle,https://github.com/elastic/integrations/tree/main/packages/oracle
oracle_weblogic,oracle_weblogic,https://github.com/elastic/integrations/tree/main/packages/oracle_weblogic
osquery,osquery,https://github.com/elastic/integrations/tree/main/packages/osquery
osquery_manager,osquery_manager,https://github.com/elastic/integrations/tree/main/packages/osquery_manager
pad,pad,https://github.com/elastic/integrations/tree/main/packages/pad
panw,panw,https://github.com/elastic/integrations/tree/main/packages/panw
panw_cortex_xdr,panw_cortex_xdr,https://github.com/elastic/integrations/tree/main/packages/panw_cortex_xdr
panw_metrics,panw_metrics,https://github.com/elastic/integrations/tree/main/packages/panw_metrics
pfsense,pfsense,https://github.com/elastic/integrations/tree/main/packages/pfsense
php_fpm,php_fpm,https://github.com/elastic/integrations/tree/main/packages/php_fpm
ping_federate,ping_federate,https://github.com/elastic/integrations/tree/main/packages/ping_federate
ping_one,ping_one,https://github.com/elastic/integrations/tree/main/packages/ping_one
platform_observability,platform_observability,https://github.com/elastic/integrations/tree/main/packages/platform_observability
postgresql,postgresql,https://github.com/elastic/integrations/tree/main/packages/postgresql
pps,pps,https://github.com/elastic/integrations/tree/main/packages/pps
prisma_access,prisma_access,https://github.com/elastic/integrations/tree/main/packages/prisma_access
prisma_cloud,prisma_cloud,https://github.com/elastic/integrations/tree/main/packages/prisma_cloud
problemchild,problemchild,https://github.com/elastic/integrations/tree/main/packages/problemchild
prometheus,prometheus,https://github.com/elastic/integrations/tree/main/packages/prometheus
prometheus_input,prometheus_input,https://github.com/elastic/integrations/tree/main/packages/prometheus_input
proofpoint_itm,proofpoint_itm,https://github.com/elastic/integrations/tree/main/packages/proofpoint_itm
proofpoint_on_demand,proofpoint_on_demand,https://github.com/elastic/integrations/tree/main/packages/proofpoint_on_demand
proofpoint_tap,proofpoint_tap,https://github.com/elastic/integrations/tree/main/packages/proofpoint_tap
proxysg,proxysg,https://github.com/elastic/integrations/tree/main/packages/proxysg
pulse_connect_secure,pulse_connect_secure,https://github.com/elastic/integrations/tree/main/packages/pulse_connect_secure
qnap_nas,qnap_nas,https://github.com/elastic/integrations/tree/main/packages/qnap_nas
qualys_vmdr,qualys_vmdr,https://github.com/elastic/integrations/tree/main/packages/qualys_vmdr
rabbitmq,rabbitmq,https://github.com/elastic/integrations/tree/main/packages/rabbitmq
radware,radware,https://github.com/elastic/integrations/tree/main/packages/radware
rapid7_insightvm,rapid7_insightvm,https://github.com/elastic/integrations/tree/main/packages/rapid7_insightvm
redis,redis,https://github.com/elastic/integrations/tree/main/packages/redis
redisenterprise,redisenterprise,https://github.com/elastic/integrations/tree/main/packages/redisenterprise
rubrik,rubrik,https://github.com/elastic/integrations/tree/main/packages/rubrik
sailpoint_identity_sc,sailpoint_identity_sc,https://github.com/elastic/integrations/tree/main/packages/sailpoint_identity_sc
salesforce,salesforce,https://github.com/elastic/integrations/tree/main/packages/salesforce
santa,santa,https://github.com/elastic/integrations/tree/main/packages/santa
security_ai_prompts,security_ai_prompts,https://github.com/elastic/integrations/tree/main/packages/security_ai_prompts
security_detection_engine,security_detection_engine,https://github.com/elastic/integrations/tree/main/packages/security_detection_engine
sentinel_one,sentinel_one,https://github.com/elastic/integrations/tree/main/packages/sentinel_one
sentinel_one_cloud_funnel,sentinel_one_cloud_funnel,https://github.com/elastic/integrations/tree/main/packages/sentinel_one_cloud_funnel
servicenow,servicenow,https://github.com/elastic/integrations/tree/main/packages/servicenow
slack,slack,https://github.com/elastic/integrations/tree/main/packages/slack
snort,snort,https://github.com/elastic/integrations/tree/main/packages/snort
snyk,snyk,https://github.com/elastic/integrations/tree/main/packages/snyk
sonicwall_firewall,sonicwall_firewall,https://github.com/elastic/integrations/tree/main/packages/sonicwall_firewall
sophos,sophos,https://github.com/elastic/integrations/tree/main/packages/sophos
sophos_central,sophos_central,https://github.com/elastic/integrations/tree/main/packages/sophos_central
splunk,splunk,https://github.com/elastic/integrations/tree/main/packages/splunk
spring_boot,spring_boot,https://github.com/elastic/integrations/tree/main/packages/spring_boot
spycloud,spycloud,https://github.com/elastic/integrations/tree/main/packages/spycloud
sql_input,sql_input,https://github.com/elastic/integrations/tree/main/packages/sql_input
squid,squid,https://github.com/elastic/integrations/tree/main/packages/squid
stan,stan,https://github.com/elastic/integrations/tree/main/packages/stan
statsd_input,statsd_input,https://github.com/elastic/integrations/tree/main/packages/statsd_input
stormshield,stormshield,https://github.com/elastic/integrations/tree/main/packages/stormshield
sublime_security,sublime_security,https://github.com/elastic/integrations/tree/main/packages/sublime_security
suricata,suricata,https://github.com/elastic/integrations/tree/main/packages/suricata
swimlane,swimlane,https://github.com/elastic/integrations/tree/main/packages/swimlane
symantec_endpoint,symantec_endpoint,https://github.com/elastic/integrations/tree/main/packages/symantec_endpoint
symantec_endpoint_security,symantec_endpoint_security,https://github.com/elastic/integrations/tree/main/packages/symantec_endpoint_security
synthetics,synthetics,https://github.com/elastic/integrations/tree/main/packages/synthetics
synthetics_dashboards,synthetics_dashboards,https://github.com/elastic/integrations/tree/main/packages/synthetics_dashboards
sysdig,sysdig,https://github.com/elastic/integrations/tree/main/packages/sysdig
syslog_router,syslog_router,https://github.com/elastic/integrations/tree/main/packages/syslog_router
sysmon_linux,sysmon_linux,https://github.com/elastic/integrations/tree/main/packages/sysmon_linux
system,system,https://github.com/elastic/integrations/tree/main/packages/system
system_audit,system_audit,https://github.com/elastic/integrations/tree/main/packages/system_audit
tanium,tanium,https://github.com/elastic/integrations/tree/main/packages/tanium
tcp,tcp,https://github.com/elastic/integrations/tree/main/packages/tcp
teleport,teleport,https://github.com/elastic/integrations/tree/main/packages/teleport
tenable_io,tenable_io,https://github.com/elastic/integrations/tree/main/packages/tenable_io
tenable_ot_security,tenable_ot_security,https://github.com/elastic/integrations/tree/main/packages/tenable_ot_security
tenable_sc,tenable_sc,https://github.com/elastic/integrations/tree/main/packages/tenable_sc
tencent_cloud,tencent_cloud,https://github.com/elastic/integrations/tree/main/packages/tencent_cloud
tetragon,tetragon,https://github.com/elastic/integrations/tree/main/packages/tetragon
threat_map,threat_map,https://github.com/elastic/integrations/tree/main/packages/threat_map
thycotic_ss,thycotic_ss,https://github.com/elastic/integrations/tree/main/packages/thycotic_ss
tines,tines,https://github.com/elastic/integrations/tree/main/packages/tines
ti_abusech,ti_abusech,https://github.com/elastic/integrations/tree/main/packages/ti_abusech
ti_anomali,ti_anomali,https://github.com/elastic/integrations/tree/main/packages/ti_anomali
ti_cif3,ti_cif3,https://github.com/elastic/integrations/tree/main/packages/ti_cif3
ti_crowdstrike,ti_crowdstrike,https://github.com/elastic/integrations/tree/main/packages/ti_crowdstrike
ti_custom,ti_custom,https://github.com/elastic/integrations/tree/main/packages/ti_custom
ti_cybersixgill,ti_cybersixgill,https://github.com/elastic/integrations/tree/main/packages/ti_cybersixgill
ti_domaintools,ti_domaintools,https://github.com/elastic/integrations/tree/main/packages/ti_domaintools
ti_eclecticiq,ti_eclecticiq,https://github.com/elastic/integrations/tree/main/packages/ti_eclecticiq
ti_eset,ti_eset,https://github.com/elastic/integrations/tree/main/packages/ti_eset
ti_maltiverse,ti_maltiverse,https://github.com/elastic/integrations/tree/main/packages/ti_maltiverse
ti_mandiant_advantage,ti_mandiant_advantage,https://github.com/elastic/integrations/tree/main/packages/ti_mandiant_advantage
ti_misp,ti_misp,https://github.com/elastic/integrations/tree/main/packages/ti_misp
ti_opencti,ti_opencti,https://github.com/elastic/integrations/tree/main/packages/ti_opencti
ti_otx,ti_otx,https://github.com/elastic/integrations/tree/main/packages/ti_otx
ti_rapid7_threat_command,ti_rapid7_threat_command,https://github.com/elastic/integrations/tree/main/packages/ti_rapid7_threat_command
ti_recordedfuture,ti_recordedfuture,https://github.com/elastic/integrations/tree/main/packages/ti_recordedfuture
ti_threatconnect,ti_threatconnect,https://github.com/elastic/integrations/tree/main/packages/ti_threatconnect
ti_threatq,ti_threatq,https://github.com/elastic/integrations/tree/main/packages/ti_threatq
ti_util,ti_util,https://github.com/elastic/integrations/tree/main/packages/ti_util
tomcat,tomcat,https://github.com/elastic/integrations/tree/main/packages/tomcat
traefik,traefik,https://github.com/elastic/integrations/tree/main/packages/traefik
trellix_edr_cloud,trellix_edr_cloud,https://github.com/elastic/integrations/tree/main/packages/trellix_edr_cloud
trellix_epo_cloud,trellix_epo_cloud,https://github.com/elastic/integrations/tree/main/packages/trellix_epo_cloud
trendmicro,trendmicro,https://github.com/elastic/integrations/tree/main/packages/trendmicro
trend_micro_vision_one,trend_micro_vision_one,https://github.com/elastic/integrations/tree/main/packages/trend_micro_vision_one
tychon,tychon,https://github.com/elastic/integrations/tree/main/packages/tychon
udp,udp,https://github.com/elastic/integrations/tree/main/packages/udp
unifiedlogs,unifiedlogs,https://github.com/elastic/integrations/tree/main/packages/unifiedlogs
universal_profiling_agent,universal_profiling_agent,https://github.com/elastic/integrations/tree/main/packages/universal_profiling_agent
universal_profiling_collector,universal_profiling_collector,https://github.com/elastic/integrations/tree/main/packages/universal_profiling_collector
universal_profiling_symbolizer,universal_profiling_symbolizer,https://github.com/elastic/integrations/tree/main/packages/universal_profiling_symbolizer
varonis,varonis,https://github.com/elastic/integrations/tree/main/packages/varonis
vectra_detect,vectra_detect,https://github.com/elastic/integrations/tree/main/packages/vectra_detect
vectra_rux,vectra_rux,https://github.com/elastic/integrations/tree/main/packages/vectra_rux
vsphere,vsphere,https://github.com/elastic/integrations/tree/main/packages/vsphere
watchguard_firebox,watchguard_firebox,https://github.com/elastic/integrations/tree/main/packages/watchguard_firebox
websocket,websocket,https://github.com/elastic/integrations/tree/main/packages/websocket
