log_id,log_text
11,Mar  7 02:18:39 CLV010VLCBEDR01 systemd[375924]: Stopped target Sockets.
12,2024-05-09 16:24:24.687    +08:00    Citect (32 bit) (IOServer [Cluster1.IOServer]) (PID 5224) Startup 8.20
13,"2.142.156.198 - - [Mar 13 2025, 23:10:16] ""GET /search HTTP/1.1"" 400 8359 ""https://www.bing.com"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"""
14,17/06/09 20:10:41 INFO Remoting: Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
15,Dec 10 07:07:38 LabSZ sshd[24206]: input_userauth_request: invalid user test9 [preauth]
16,Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
17,20171223-22:15:29:606|Step_LSC|30002312|onStandStepChanged 3579
18,Feb 19 07:18:39 CLV010VLCBEDR01 systemd[375924]: Stopped target Default.
19,"<12>Feb 28 00:06:30 CYberlab-ENT-PA-440 1,2025/02/28 00:06:30,021201155690,SYSTEM,general,2816,2025/02/28 00:06:30,,general,,0,0,general,medium,""Failed to check IoT content upgrade info due to Unknown error"",7444467286603257823,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T00:06:30.194+08:00"
20,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-03-12T07:16:35.251125300Z'/><EventRecordID>8361393</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>
21,Mar 17 10:18:39 CLV010VLCBEDR01 systemd[375924]: Closed D-Bus User Message Bus Socket.
22,"17/06/09 20:10:40 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]"
23,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>
24,"<14>Feb  1 00:28:59 PA-VM 1,2025/02/01 00:28:59,,SYSTEM,general,2816,2025/02/01 00:28:59,,general,,0,0,general,informational,""Connection to Update server: updates.paloaltonetworks.com completed successfully, initiated by 192.168.10.15"",7409859196046341743,0x0,0,0,0,0,,PA-VM,0,0,2025-02-01T00:28:59.938+08:00"
25,Jun 16 07:03:22 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
26,Dec 10 07:08:28 LabSZ sshd[24208]: reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!
27,"<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-01-31T16:00:00.013931800Z'/><EventRecordID>14067140</EventRecordID><Correlation ActivityID='{3ddf0711-cf56-4c5c-a8f6-2e41b7cb644e}'/><Execution ProcessID='2084' ThreadID='4240'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>CLV040VWKIWI001.stecyberlab.local</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[Config] Failed to read configuration from registry, result 5. Using default values</Data></EventData></Event>"
28,2024-05-09 16:24:24.435    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitChannel()                                     ]    [plc_drv.cpp                   ]    [1272]    Channel PORT2_BOARD1 is Online
29,"2015-07-29 17:41:44,747 - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@774] - Notification time out: 3200"
30,"2024-05-09 16:24:24.641    +08:00    Licensing::LicenseProtection:ProtInit, licRunMode: 0x23eb"
31,Feb  5 00:18:29 CLV010VLCBEDR01 systemd[1]: session-13536.scope: Succeeded.
32,08 30 2023 16:33:46 192.168.8.171 <SAU1:ERRR> 1 2023-08-30T16:33:46.865334+08:00 IL-LAB-RDF01 IL-LAB-RDF01 - - - LEEF:2.0|radiflow|isid|6.5.11.14|6|Device became inactive|Medium|cat='Device' id=21 dvc=192.168.10.34 SrcName=192.168.10.34 SrcMac=00:24:81:20:54:CD SrcVendor=Hewlett Packard SrcType=Server
33,[10.30 17:14:20] Dropbox.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
34,Dec 10 07:07:45 LabSZ sshd[24206]: Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2
35,- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond(pam_unix)[2915]: session closed for user root
36,Jan 27 12:38:01 CLV010VLCBEDR01 CROND[375934]: (cb) CMD (/usr/share/cb/virtualenv/bin/python -m cb.maintenance.job_runner --max-startup-delay 1 -s alliance_community_participation /etc/cb/cb.conf --ticevents >> /var/log/cb/job-runner/startup.out 2>&1)
37,17/06/09 20:10:41 INFO slf4j.Slf4jLogger: Slf4jLogger started
38,"[10.30 17:11:17] WeChat.exe - proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 353 bytes received, lifetime <1 sec"
39,2024-05-09 16:24:24.435    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitDrivers()                                     ]    [drv_init.cpp                  ]    [2005]      MaxPending=255 Block=255 Retry=0 Delay=0 Timeout=3000 PollTime=1000 WatchTime=15000
40,"217.50.57.73 - - [Mar 13 2025, 10:41:29] ""DELETE /blog?sort=price_desc&page=2 HTTP/1.1"" 500 1126 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36"""
41,2025-03-07T20:22:19.897Z server52 AuthController [ERROR]: Operation failed for user 166
42,"<11>Feb 28 02:48:52 CYberlab-ENT-PA-440 1,2025/02/28 02:48:52,021201155690,SYSTEM,syslog,2816,2025/02/28 02:48:52,,syslog-conn-status,,0,0,general,high,""Syslog connection failed to server['AF_INET.192.168.20.224:2516.']"",7444467286603257908,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T02:48:52.970+08:00"
43,2024-05-09 16:24:24.507    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitUnit()                                        ]    [plc_drv.cpp                   ]    [1063]    Unit 'Kepware.KEPServerEX.V6' Port PORT2_BOARD1 is Online
44,"2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl: task_1445144423722_0020_m_000002 Task Transitioned from NEW to SCHEDULED"
45,"17/06/09 20:10:41 INFO spark.SecurityManager: Changing modify acls to: yarn,curi"
46,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>
47,Jun 01 01:01:09 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
48,081109 204324 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864
49,Feb 27 00:18:01 CLV010VLCBEDR01 systemd[375924]: pam_unix(systemd-user:session): session opened for user cb by (uid=0)
50,Sep 05 14:26:18 combo su(pam_unix)[21416]: session opened for user cyrus by (uid=0)
51,2024-05-09 16:24:24.286    +08:00    Protection: Using provider DLL C:\Program Files (x86)\AVEVA\Citect SCADA 2018 R2\Bin\SentinelProvider.dll
52,Sep 10 13:23:39 combo sshd(pam_unix)[20898]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
53,"2024-05-03 15:44:43.726 +08:00 TranWrite(3, 140): Name=Cluster1Alarm, State != TRAN_STATE_ONLINE, state=5"
54,"<14>Feb 28 01:10:41 CYberlab-ENT-PA-440 1,2025/02/28 01:10:40,021201155690,SYSTEM,vpn,2816,2025/02/28 01:10:40,,ike-send-p2-delete,vyos-pa-tunnel,0,0,general,informational,""IKE protocol IPSec SA delete message sent to peer. SPI:0x927678BB."",7444467286603257863,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T01:10:41.001+08:00"
55,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>
56,"2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack"
57,"[10.30 17:11:43] SogouCloud.exe - get.sogou.com:80 close, 859 bytes sent, 316 bytes received, lifetime <1 sec"
58,Jul  1 09:00:56 authorMacBook-Pro cdpd[11807]: Saw change in network reachability (isReachable=0)
59,"17/06/09 20:10:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi"
60,"2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack"
61,Feb 12 11:18:39 CLV010VLCBEDR01 systemd[1]: Stopping User Manager for UID 992…
62,081109 203615 148 INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_38865049064139660 terminating
63,Dec 10 07:07:45 LabSZ sshd[24206]: Received disconnect from 52.80.34.196: 11: Bye Bye [preauth]
64,"<11>Feb 28 00:03:52 CYberlab-ENT-PA-440 1,2025/02/28 00:03:52,021201155690,SYSTEM,syslog,2816,2025/02/28 00:03:52,,syslog-conn-status,,0,0,general,high,""Syslog connection failed to server['AF_INET.192.168.20.224:2516.']"",7444467286603257821,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T00:03:52.858+08:00"
65,"2015-07-29 19:22:46,680 - WARN  [SendWorker:188978561024:QuorumCnxManager$SendWorker@679] - Interrupted while waiting for message on queue"
66,"nova-api.log.1.2017-05-16_13:53:08 2017-05-16 00:00:00.008 25746 INFO nova.osapi_compute.wsgi.server [req-38101a0b-2096-447d-96ea-a692162415ae 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829"
67,17/06/09 20:10:41 INFO Remoting: Starting remoting
68,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>
69,081109 204525 512 INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_572492839287299681 terminating
70,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties
71,Dec 10 07:07:38 LabSZ sshd[24206]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn 
72,Mar 28 12:18:39 CLV010VLCBEDR01 systemd[375924]: Reached target Shutdown.
73,134681 node-246 unix.hw state_change.unavailable 1077804742 1 Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973)
74,Feb 19 02:32:24 myhost ERROR Event 6512: Process terminated
75,"192.168.68.98 - - [Mar 17 2025, 10:24:22] ""PUT /login HTTP/1.1"" 200 3214 ""https://www.google.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"""
76,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-Sysmon' Guid='{5770385F-C22A-43E0-BF4C-06F5698FFBD9}'/><EventID>10</EventID><Version>3</Version><Level>4</Level><Task>10</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2020-10-08T12:52:10.274186300Z'/><EventRecordID>34</EventRecordID><Correlation/><Execution ProcessID='4268' ThreadID='4756'/><Channel>Microsoft-Windows-Sysmon/Operational</Channel><Computer>win-dc-8537412.attackrange.local</Computer><Security UserID='S-1-5-18'/></System><EventData><Data Name='RuleName'>-</Data><Data Name='UtcTime'>2020-10-08 12:52:10.259</Data><Data Name='SourceProcessGUID'>{F97E5129-0A10-5F7F-0C00-000000007E01}</Data><Data Name='SourceProcessId'>572</Data><Data Name='SourceThreadId'>1120</Data><Data Name='SourceImage'>C:\Windows\system32\svchost.exe</Data><Data Name='TargetProcessGUID'>{F97E5129-0B7A-5F7F-F402-000000007E01}</Data><Data Name='TargetProcessId'>4268</Data><Data Name='TargetImage'>C:\Windows\sysmon64.exe</Data><Data Name='GrantedAccess'>0x1400</Data><Data Name='CallTrace'>C:\Windows\SYSTEM32\ntdll.dll+a5ec4|C:\Windows\System32\KERNELBASE.dll+5eab4|c:\windows\system32\lsm.dll+e9d6|c:\windows\system32\lsm.dll+d3ae|C:\Windows\System32\RPCRT4.dll+78343|C:\Windows\System32\RPCRT4.dll+dbc0d|C:\Windows\System32\RPCRT4.dll+b3dc|C:\Windows\System32\RPCRT4.dll+59dc4|C:\Windows\System32\RPCRT4.dll+58cdd|C:\Windows\System32\RPCRT4.dll+5958b|C:\Windows\System32\RPCRT4.dll+3942c|C:\Windows\System32\RPCRT4.dll+398ac|C:\Windows\System32\RPCRT4.dll+53e9c|C:\Windows\System32\RPCRT4.dll+556fb|C:\Windows\System32\RPCRT4.dll+481da|C:\Windows\SYSTEM32\ntdll.dll+286be|C:\Windows\SYSTEM32\ntdll.dll+2a029|C:\Windows\System32\KERNEL32.DLL+84d4|C:\Windows\SYSTEM32\ntdll.dll+6e871</Data></EventData></Event>
77,Feb 27 00:18:01 CLV010VLCBEDR01 systemd[375924]: Reached target Timers.
78,"2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack"
79,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>
80,Dec 10 06:55:46 LabSZ sshd[24200]: reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!
81,03/10/2025 01:25:27.876 WatsonReport: Registering setup log files with watson
82,2024-05-09 16:24:24.569    +08:00    Alarm: Client loaded _Categor RDB; time 2024-05-03 15:41:01.
83,Jul 23 11:46:41 combo sshd(pam_unix)[15385]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=85.44.47.166 user=root
84,"17/06/09 20:10:41 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
85,[10.30 17:11:12] WeChat.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS
86,081109 204722 567 INFO dfs.DataNode$PacketResponder: Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112
87,081109 204132 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864
88,2025-02-06T05:15:06.534Z server52 UserService [DEBUG]: Operation completed for user 258
89,"<8>1 2025-07-23T06:44:37.453210Z dragos dragos_syslog - - - {""system"": ""Dragos Platform"", ""createdAt"": ""2025-07-23T06:44:37Z"", ""summary"": ""Distributed Component Object Model (DCOM) used to execute commands on a remote Windows system"", ""severity"": ""5"", ""content"": ""Asset 28 (192.168.23.11) executed DCOMExec script to Asset 14 (172.18.1.42). The script carried out the following action SMB::FILE_OPEN as a result of the execution. The execution of DCOMExec script could indicate possible usage of the Impacket framework that provides the capability to use the script in order to execute commands on a remote Windows system via Distributed Component Object Model (DCOM). The output of the python script is the following file __1753252778.7019103"", ""asset_ip"": """", ""asset_hostname"": """", ""dst_asset_ip"": ""172.18.1.42"", ""dst_asset_hostname"": ""pdsrdstm"", ""dst_asset_mac"": ""00:50:56:27:2A:37"", ""dst_asset_domain"": """", ""src_asset_ip"": ""192.168.23.11"", ""src_asset_hostname"": """", ""src_asset_mac"": """", ""src_asset_domain"": """", ""id"": ""6528"", ""asset_domain"": """", ""asset_id"": """", ""asset_mac"": """", ""detection_quad"": ""Indicator"", ""detectorId"": ""8cc94891-899e-4e1e-a24e-60e5c42019cf"", ""dst_asset_id"": ""14"", ""matchedRuleId"": ""4"", ""occurredAt"": ""2025-07-23T06:40:20Z"", ""originalSeverity"": ""1"", ""reviewed"": ""False"", ""src_asset_id"": ""28"", ""type"": ""Communication""}"
90,"204.213.233.216 - - [Mar 15 2025, 08:35:21] ""GET /search HTTP/1.1"" 400 2717 ""https://www.google.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"""
91,<10>Jul 23 14:40:45 10.10.1.10 CEF:0|Tenable|Tenable OT Security|3.18.58|109|Unauthorized Conversation|9|externalId=10025 cs6Label=policy_name cs6= SMB communication from  DMZ server Detected cf1Label=cluster_log_id cf1=10024 duser=920-WINSRV01-A dpt=445 dst=10.92.0.10 suser=920-TERMSRV01 src=10.20.100.20 proto=TCP cat=NetworkEvents
92,"37.161.15.125 - - [Mar 18 2025, 11:08:58] ""PUT /api/users HTTP/1.1"" 200 2005 ""https://www.example.com"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15"""
93,Aug 15 00:04:21 combo sshd(pam_unix)[20897]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root
94,081109 204453 34 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864
95,081109 204815 653 INFO dfs.DataNode$DataXceiver: Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010
96,"[09.30 17:12:14] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 35850 bytes (35.0 KB) sent, 13903 bytes (13.5 KB) received, lifetime 04:12"
97,"[10.20 17:11:08] chrome.exe - proxy.cse.cuhk.edu.hk:5070 close, 1432 bytes (1.39 KB) sent, 44376 bytes (43.3 KB) received, lifetime 00:31"
98,<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-26T05:59:00.054350300Z'/><EventRecordID>6989899</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='5148'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[SDP Base]  SRUM calling FreeMemory for provider data type 3 into provider CPU Provider.</Data></EventData></Event>
99,"2015-10-18 18:01:53,838 INFO [AsyncDispatcher event handler] org.apache.hadoop.yarn.util.RackResolver: Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack"
100,"_from_ip=""10.20.80.208"" _to_ip=""96.45.45.45"" bpf_filter=""ip host 10.20.80.208 and ip host 96.45.45.45 and udp port 61952 and udp port 53"" direction_is_known=true first_activity_time=""1753253399923"" from=""10.20.80.208"" from_port=""61952"" from_zone=""10.20.80.0/24"" id=""810.20.80.20896.45.45.45f20035198360bcd73"" is_broadcast=false is_from_public=false is_to_public=true key=""96.45.45.45;53;10.20.80.208;61952;udp;8"" last_activity_time=""1753253399966"" protocol=""dns"" status=""CLOSED"" throughput_speed=0 to=""96.45.45.45"" to_port=""53"" to_zone=""Internet"" transferred.avg_packet_bytes=234.5 transferred.biggest_packet_bytes=""386"" transferred.bytes=""469"" transferred.last_15m_bytes=""0"" transferred.last_30m_bytes=""469"" transferred.last_5m_bytes=""0"" transferred.packets=""2"" transferred.smallest_packet_bytes=""83"" transport_protocol=""udp"" vlan_id=null"
