log_id,generated_regex
27,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
28,(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{4})\s+\[(?P<log_level>[^\]]+)\]\s+\[(?P<source_module>[^\]]+)\]\s+\[(?P<thread_id>0x[^\]]+)\]\s+\[(?P<component>[^\]]+)\]\s+\[(?P<context>[^\]]+)\]\s+\[(?P<function>[^\]]+)\]\s+\[(?P<file>[^\]]+)\]\s+\[(?P<line>\d+)\]\s+(?P<message>.+)
29,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s-\s(?<loglevel>\w+)\s\[(?<component>QuorumPeer\[myid=\d+\])\/(?<ip>[^:]+):(?<port>\d+):(?<method>[^\]]+)\]\s-\s(?<message>.+)"
30,"(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+(?P<timezone>\+\d{2}:\d{2})\s+(?P<category>Licensing::LicenseProtection:ProtInit)\,\s+licRunMode:\s+(?P<licRunMode>0x.*?)"
31,"(?P<month>\bFeb\b)\s+(?P<day>\d{1,2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>CLV010VLCBEDR01)\s+(?P<process>systemd)\[(?P<pid>\d+)\]:\s+(?P<scope>session-\d+\.scope):\s+(?P<message>Succeeded\.)"
32,"(?P<Month>\d{2})\s+(?P<Day>\d{2})\s+(?P<Year>\d{4})\s+(?P<Time>\d{2}:\d{2}:\d{2})\s+(?P<IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<(?P<Product>\w+):(?P<Severity>\w+)>\s+(?P<Num1>\d+)\s+(?P<Timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[+-]\d{4})\s+(?P<Source>\S+)\s+(?P<Destination>\S+)\s+(?P<Field1>-)\s+(?P<Field2>-)\s+(?P<Field3>-)\s+(?P<LEEF_Version>LEEF:\d\.\d)\|(?P<Device_Vendor>[^|]+)\|(?P<Device_Product>[^|]+)\|(?P<Device_Version>[^|]+)\|(?P<Event_ID>\d+)\|(?P<Message>.+?)\|(?P<Severity_Label>\w+)\|(?P<Category>cat='[^']+?)'\sid=(?P<ID>\d+)\sdvc=(?P<Device_IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\sSrcName=(?P<Src_Name>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\sSrcMac=(?P<Src_Mac>[^ ]+)\sSrcVendor=(?P<Src_Vendor>[^ ]+)\sSrcType=(?P<Src_Type>[^ ]+)"
33,\[\s*(?<timestamp>\d{2}\.\d{2}\s+\d{2}:\d{2}:\d{2})\s*\]\s*(?<process>[^-\s]+)\s+-\s*(?<proxy_host>[^\s:]+):(?<proxy_port>\d+)\s+(?<action>[^\s]+)\s+through\s+proxy\s+\k<proxy_host>:(\k<proxy_port>)\s+(?<protocol>[A-Z]+)
34,Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]:\s+Failed\s+password\s+for\s+(?<username>\S+)\s+from\s+(?<ip>\d+\.\d+\.\d+\.\d+)\s+port\s+(?<port>\d+)\s+(?<protocol>\S+)
35,"(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<hostname>\S+)\s+(?<month>\w{3})\s+(?<day>\d{1,2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<host>\S+)\/(?<service>\S+)\s+(?<process>\S+)\((?<module>\S+)\)\[(?<pid>\d+)\]\:\s+session\s+closed\s+for\s+user\s+(?<username>\S+)"
36,Jan\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+\((?<user>\S+)\)\s+CMD\s+\((?<command>\/.*?\/.*?)\s+--max-startup-delay\s+(?<max_startup_delay>\d+)\s+-s\s+(?<service>\S+)\s+(?<config_file>\/.*?\/.*?)\s+--ticevents\s+>>\s+(?<output_file>\/.*?\/.*?)\s+2>&1\)
37,`(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<logger_name>[^:]+):\s+(?<message>.*)`
38,"\[([\d\.]+)\s+(\d{2}:\d{2}:\d{2})\]\s+(WeChat\.exe)\s+-\s+([\w\.]+):\d+\s+(close),\s+(\d+)\s+bytes\s+sent,\s+(\d+)\s+bytes\s+received,\s+lifetime\s+<(\d+)\s+sec"
39,(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{4})\s+\[(?P<log_level>[^\]]+)\]\s+\[(?P<source_module>[^\]]+)\]\s+\[(?P<thread_id>0x[^\]]+)\]\s+\[(?P<component>[^\]]+)\]\s+\[(?P<context>[^\]]+)\]\s+\[(?P<function>[^\]]+)\]\s+\[(?P<file>[^\]]+)\]\s+\[(?P<line>\d+)\]\s+MaxPending=(?P<max_pending>\d+)\s+Block=(?P<block>\d+)\s+Retry=(?P<retry>\d+)\s+Delay=(?P<delay>\d+)\s+Timeout=(?P<timeout>\d+)\s+PollTime=(?P<poll_time>\d+)\s+WatchTime=(?P<watch_time>\d+)
40,"(?P<ip>\d+\.\d+\.\d+\.\d+)\s+-\s-\s\[(?P<date>[A-Za-z]{3}\s\d{2}\s\d{4},\s\d{2}:\d{2}:\d{2})\]\s""(?P<method>DELETE)\s(?P<uri>/blog\?sort=price_desc&page=2)\sHTTP\/1\.1""\s(?P<status_code>500)\s(?P<body_bytes_sent>1126)\s""(?P<http_referer>-)""\s""(?P<http_user_agent>Mozilla\/5\.0\s\(Windows\sNT\s10\.0;\sWin64;\sx64\)\sAppleWebKit\/537\.36\s\(KHTML,\slike\sGecko\)\sChrome\/91\.0\.4472\.124\sSafari\/537\.36)"""
41,(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?P<host>server\d+)\s+(?P<class>AuthController)\s+\[(?P<severity>[^\]]+)\]\:\s+Operation\s+failed\s+for\s+user\s+(?P<user_id>\d+)
42,"<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}):(\d{2}):(\d{2})\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),([^,]+),([^,]+),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,([^,]+),,,(\d+),(\d+),([^,]+),([^,]+),""(.+?)"",(\d+),0x([0-9a-fA-F]+),(\d+),(\d+),(\d+),(\d+),,,(.*?),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
43,(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2}\.\d{3})\s+\+\d{4}\s+\[(?P<log_level>[^\]]+)\]\s+\[(?P<source>[^\]]+)\]\s+\[(?P<thread_id>[^\]]+)\]\s+\[(?P<component>[^\]]+)\]\s+\[(?P<context>[^\]]+)\]\s+\[(?P<function>[^\]]+)\]\s+\[(?P<file>[^\]]+)\]\s+\[(?P<line>\d+)\]\s+(?P<message>.+)
44,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<loglevel>\w+)\s+\[(?<thread>[^\]]+)\]\s+(?<logger>[^:]+):\s+(?<taskid>[^ ]+)\s+(?<message>.+)"
45,(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>\w+)\s+(?P<source>[\w\.]+):\s+(?P<message>.+?)
46,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
47,(?P<month>\w+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>\S*)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>\S+)\s+ruser=(?P<ruser>\S*)\s+rhost=(?P<rhost>[^ ]+)\s+user=(?P<user>\S+)
48,(?<timestamp>\d{6})\s+(?<time>\d{6})\s+(?<pid>\d+)\s+(?<level>[A-Z]+)\s+(?<class>[^:]+):\s+(?<method>[^:]+):\s+(?<message>.+?)
49,(?P<month>\S+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<service>\S+)\((?P<service_type>\S+)\)\:(?P<action>\S+)\s+for\s+user\s+(?P<username>\S+)\s+by\s+\((?P<by_uid>uid=\d+)\)
50,Sep\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(.*?)\s+\((.*?)\)\[(.*?)\]:\s+session\s+opened\s+for\s+user\s+(.*?)\s+by\s+\((.*?)\)
51,(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2}\.\d{3})\s+\+\d{4}\s+(?P<protection>Protection):\s+(?P<action>Using\sprovider\sDLL)\s+(?P<dll_path>C:\\.*?\\.dll)
52,Sep\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<service>\S+)\((?<module>\S+)\)\[(?<pid>\d+)\]\:\s+authentication\sfailure\;\s+logname=(?<logname>\S*)\s+uid=(?<uid>\d+)\s+euid=(?<euid>\d+)\s+tty=(?<tty>\S+)\s+ruser=(?<ruser>\S*)\s+rhost=(?<rhost>[^\s]+)\s+user=(?<user>\S+)
53,"(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{2}:\d{2})\s+(?P<function>TranWrite)\((?P<param1>\d+),\s*(?P<param2>\d+)\):\s*Name=(?P<name>[^,]+),\s*State\s*!=\s*(?P<state_name>[^,]+),\s*state=(?P<state_number>\d+)"
54,"<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}:\d{2}:\d{2})\s+([\w\-]+)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),(\w+),(\w+),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,([\w\-]+),([\w\-]+),(\d+),(\d+),(\w+),(\w+),""([^""]*)"",(\d+),(\w+),(\w+),(\w+),(\w+),(\w+),([\w\-]+),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
55,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
56,"(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?P<log_level>[A-Z]+)\s+\[(?P<thread_name>.*?)\]\s+(?P<class_name>.*?):\s+(?P<message>.*?)"
57,"\[\s*(?<timestamp>\d{1,3}\.\d{1,2}\s+\d{1,2}:\d{2}:\d{2})\s*\]\s*(?<process>[^-\s]+\.exe)\s+-\s+(?<destination>[^\s:]+:\d+)\s+(?<action>close),\s+(?<bytes_sent>\d+)\s+bytes\s+sent,\s+(?<bytes_received>\d+)\s+bytes\s+received,\s+lifetime\s+<(?<lifetime>\d+)\s+sec\)"
58,\s*(?<month>Jul)\s+(?<day>1)\s+(?<time>09:00:56)\s+(?<hostname>authorMacBook-Pro)\s+(?<process>cdpd)\[(?<pid>11807)\]:\s+Saw\s+change\s+in\s+network\s+reachability\s+\(isReachable=(?<isReachable>0)\)
59,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<class>[^:]+):\s+(?<message>.+?)
60,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<log_level>\w+)\s+\[(?<thread_name>.*?)\]\s+(?<class_name>.*?):\s+(?<message>.*?)"
