"log_id","log_text","generated_regex"
"11","Mar  7 02:18:39 CLV010VLCBEDR01 systemd[375924]: Stopped target Sockets.","Mar\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+(?<message>.+)"
"12","2024-05-09 16:24:24.687    +08:00    Citect (32 bit) (IOServer [Cluster1.IOServer]) (PID 5224) Startup 8.20","(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{2}:\d{2})\s+(?P<source>Citect\s\(32\sbit\))\s+\((?P<application>IOServer)\s\[(?P<cluster>Cluster1\.IOServer)\]\)\s+\((?P<pid>PID\s\d{4})\)\s+(?P<event>Startup)\s+(?P<version>8\.20)"
"13","2.142.156.198 - - [Mar 13 2025, 23:10:16] ""GET /search HTTP/1.1"" 400 8359 ""https://www.bing.com"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36""","(?P<ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s+\[(?P<date>[A-Za-z]{3}\s+\d{2}\s+\d{4},\s+\d{2}:\d{2}:\d{2})\]\s+""(?P<method>[A-Z]+)\s+(?P<url>\/.*?)(?P<protocol>HTTP\/\d\.\d)""\s+(?P<status>\d+)\s+(?P<size>\d+)\s+""(?P<referrer>.*?)""\s+""(?P<user_agent>.*?)"""
"14","17/06/09 20:10:41 INFO Remoting: Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]","(?P<date>\d{2}/\d{2}/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<source>Remoting):\s+(?P<message>Remoting\s+started;\s+listening\s+on\s+addresses\s+:)\[(?P<protocol>[^:]+):\/\/(?P<actor_system>[^@]+)@(?P<host>[^:]+):(?P<port>\d+)\]"
"15","Dec 10 07:07:38 LabSZ sshd[24206]: input_userauth_request: invalid user test9 [preauth]","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+input_userauth_request\:\s+invalid\s+user\s+(?<username>\S+)\s+\[(?<status>\S+)\]"
"16","Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root","(?P<month>\w+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>.*?)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>\S+)\s+ruser=(?P<ruser>.*?)\s+rhost=(?P<rhost>.*?)\s+user=(?P<user>\S+)"
"17","20171223-22:15:29:606|Step_LSC|30002312|onStandStepChanged 3579","(?<timestamp>\d{8}-\d{2}:\d{2}:\d{2}:\d{3})\s+\|(?<source>Step_LSC)\s+\|(?<id>\d+)\s+(?<event>onStandStepChanged)\s+(?<value>\d+)"
"18","Feb 19 07:18:39 CLV010VLCBEDR01 systemd[375924]: Stopped target Default.","(?P<month>\S+)\s+(?P<day>\d+)\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<message>.+?)"
"19","<12>Feb 28 00:06:30 CYberlab-ENT-PA-440 1,2025/02/28 00:06:30,021201155690,SYSTEM,general,2816,2025/02/28 00:06:30,,general,,0,0,general,medium,""Failed to check IoT content upgrade info due to Unknown error"",7444467286603257823,0x0,0,0,0,0,,CYberlab-ENT-PA-440,0,0,2025-02-28T00:06:30.194+08:00","<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}:\d{2}:\d{2})\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),(\w+),(\w+),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),,,(\d+),(\d+),(\w+),(\w+),""([^""]*)"",(\d+),0x(\d+),(\d+),(\d+),(\d+),(\d+),,,(.*?),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
"20","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-03-12T07:16:35.251125300Z'/><EventRecordID>8361393</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"21","Mar 17 10:18:39 CLV010VLCBEDR01 systemd[375924]: Closed D-Bus User Message Bus Socket.","Mar\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<host>[^\\s]+)\s+(?<process>[^\\s\[]+)\[(?<pid>\d+)\]\:\s+(?<message>.+)"
"22","17/06/09 20:10:40 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]","(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>INFO)\s+(?P<class>executor\.CoarseGrainedExecutorBackend):\s+(?P<message>Registered\s+signal\s+handlers\s+for\s+\[(?P<signals>[^\]]+)\])"
"23","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-02-28T07:41:19.880782800Z'/><EventRecordID>7191981</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"24","<14>Feb  1 00:28:59 PA-VM 1,2025/02/01 00:28:59,,SYSTEM,general,2816,2025/02/01 00:28:59,,general,,0,0,general,informational,""Connection to Update server: updates.paloaltonetworks.com completed successfully, initiated by 192.168.10.15"",7409859196046341743,0x0,0,0,0,0,,PA-VM,0,0,2025-02-01T00:28:59.938+08:00","<(\d+)>\s+(\w{3})\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),(.+?),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),,(.*?),(.+?),(.+?),\""(.*?)\"",(\d+),0x[0-9a-fA-F]+,\d+,\d+,\d+,\d+,,(.*?),\d+,\d+,(.+?)"
"25","Jun 16 07:03:22 combo sshd(pam_unix)[20896]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root","(?P<month>\w+)\s+(?P<day>\d+)\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>.*?)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>.*?)\s+ruser=(?P<ruser>.*?)\s+rhost=(?P<rhost>.*?)\s+user=(?P<user>.*?)"
"26","Dec 10 07:08:28 LabSZ sshd[24208]: reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]:\s+reverse\s+mapping\s+checking\s+getaddrinfo\s+for\s+(?<domain>[^\s\[\]]+)\s+\[(?<ip>\d+\.\d+\.\d+\.\d+)\]\s+failed\s+-\s+(?<message>.+?)"
"27","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-01-31T16:00:00.013931800Z'/><EventRecordID>14067140</EventRecordID><Correlation ActivityID='{3ddf0711-cf56-4c5c-a8f6-2e41b7cb644e}'/><Execution ProcessID='2084' ThreadID='4240'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>CLV040VWKIWI001.stecyberlab.local</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[Config] Failed to read configuration from registry, result 5. Using default values</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"28","2024-05-09 16:24:24.435    +08:00    [TRACE]    [CORE       ]    [0x1130]    [IOServer        ]    [(GLOBAL)        ]    [InitChannel()                                     ]    [plc_drv.cpp                   ]    [1272]    Channel PORT2_BOARD1 is Online","(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{4})\s+\[(?P<log_level>[^\]]+)\]\s+\[(?P<source_module>[^\]]+)\]\s+\[(?P<thread_id>0x[^\]]+)\]\s+\[(?P<component>[^\]]+)\]\s+\[(?P<context>[^\]]+)\]\s+\[(?P<function>[^\]]+)\]\s+\[(?P<file>[^\]]+)\]\s+\[(?P<line>\d+)\]\s+(?P<message>.+)"
"29","2015-07-29 17:41:44,747 - INFO  [QuorumPeer[myid=1]/0:0:0:0:0:0:0:0:2181:FastLeaderElection@774] - Notification time out: 3200","(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s-\s(?<loglevel>\w+)\s\[(?<component>QuorumPeer\[myid=\d+\])\/(?<ip>[^:]+):(?<port>\d+):(?<method>[^\]]+)\]\s-\s(?<message>.+)"
"30","2024-05-09 16:24:24.641    +08:00    Licensing::LicenseProtection:ProtInit, licRunMode: 0x23eb","(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d+)\s+(?P<timezone>\+\d{2}:\d{2})\s+(?P<category>Licensing::LicenseProtection:ProtInit)\,\s+licRunMode:\s+(?P<licRunMode>0x.*?)"
"31","Feb  5 00:18:29 CLV010VLCBEDR01 systemd[1]: session-13536.scope: Succeeded.","(?P<month>\bFeb\b)\s+(?P<day>\d{1,2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>CLV010VLCBEDR01)\s+(?P<process>systemd)\[(?P<pid>\d+)\]:\s+(?P<scope>session-\d+\.scope):\s+(?P<message>Succeeded\.)"
"32","08 30 2023 16:33:46 192.168.8.171 <SAU1:ERRR> 1 2023-08-30T16:33:46.865334+08:00 IL-LAB-RDF01 IL-LAB-RDF01 - - - LEEF:2.0|radiflow|isid|6.5.11.14|6|Device became inactive|Medium|cat='Device' id=21 dvc=192.168.10.34 SrcName=192.168.10.34 SrcMac=00:24:81:20:54:CD SrcVendor=Hewlett Packard SrcType=Server","(?P<Month>\d{2})\s+(?P<Day>\d{2})\s+(?P<Year>\d{4})\s+(?P<Time>\d{2}:\d{2}:\d{2})\s+(?P<IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<(?P<Product>\w+):(?P<Severity>\w+)>\s+(?P<Num1>\d+)\s+(?P<Timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[+-]\d{4})\s+(?P<Source>\S+)\s+(?P<Destination>\S+)\s+(?P<Field1>-)\s+(?P<Field2>-)\s+(?P<Field3>-)\s+(?P<LEEF_Version>LEEF:\d\.\d)\|(?P<Device_Vendor>[^|]+)\|(?P<Device_Product>[^|]+)\|(?P<Device_Version>[^|]+)\|(?P<Event_ID>\d+)\|(?P<Message>.+?)\|(?P<Severity_Label>\w+)\|(?P<Category>cat='[^']+?)'\sid=(?P<ID>\d+)\sdvc=(?P<Device_IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\sSrcName=(?P<Src_Name>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\sSrcMac=(?P<Src_Mac>[^ ]+)\sSrcVendor=(?P<Src_Vendor>[^ ]+)\sSrcType=(?P<Src_Type>[^ ]+)"
"33","[10.30 17:14:20] Dropbox.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS","\[\s*(?<timestamp>\d{2}\.\d{2}\s+\d{2}:\d{2}:\d{2})\s*\]\s*(?<process>[^-\s]+)\s+-\s*(?<proxy_host>[^\s:]+):(?<proxy_port>\d+)\s+(?<action>[^\s]+)\s+through\s+proxy\s+\k<proxy_host>:(\k<proxy_port>)\s+(?<protocol>[A-Z]+)"
"34","Dec 10 07:07:45 LabSZ sshd[24206]: Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]:\s+Failed\s+password\s+for\s+(?<username>\S+)\s+from\s+(?<ip>\d+\.\d+\.\d+\.\d+)\s+port\s+(?<port>\d+)\s+(?<protocol>\S+)"
"35","- 1131566461 2005.11.09 dn228 Nov 9 12:01:01 dn228/dn228 crond(pam_unix)[2915]: session closed for user root","(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<hostname>\S+)\s+(?<month>\w{3})\s+(?<day>\d{1,2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<host>\S+)\/(?<service>\S+)\s+(?<process>\S+)\((?<module>\S+)\)\[(?<pid>\d+)\]\:\s+session\s+closed\s+for\s+user\s+(?<username>\S+)"
"36","Jan 27 12:38:01 CLV010VLCBEDR01 CROND[375934]: (cb) CMD (/usr/share/cb/virtualenv/bin/python -m cb.maintenance.job_runner --max-startup-delay 1 -s alliance_community_participation /etc/cb/cb.conf --ticevents >> /var/log/cb/job-runner/startup.out 2>&1)","Jan\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+\((?<user>\S+)\)\s+CMD\s+\((?<command>\/.*?\/.*?)\s+--max-startup-delay\s+(?<max_startup_delay>\d+)\s+-s\s+(?<service>\S+)\s+(?<config_file>\/.*?\/.*?)\s+--ticevents\s+>>\s+(?<output_file>\/.*?\/.*?)\s+2>&1\)"
"37","17/06/09 20:10:41 INFO slf4j.Slf4jLogger: Slf4jLogger started","`(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<logger_name>[^:]+):\s+(?<message>.*)`"
"38","[10.30 17:11:17] WeChat.exe - proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 353 bytes received, lifetime <1 sec","\[([\d\.]+)\s+(\d{2}:\d{2}:\d{2})\]\s+(WeChat\.exe)\s+-\s+([\w\.]+):\d+\s+(close),\s+(\d+)\s+bytes\s+sent,\s+(\d+)\s+bytes\s+received,\s+lifetime\s+<(\d+)\s+sec"
